OBJECTID,TYPE,MATERIAL,WIDTH,LIMITS,TYPE2,NAME,ENTITY_TRA,TYPE_3,PAVED,MILEAGE,Shape__Length
249,Designated,Asphalt,10, ,Asphalt Trail,Kelly Drive Trail,PPR,Trail,Y,0.11313484,237.695240801229
250,Designated,Asphalt,10, ,Asphalt Trail,Schuylkill Banks Trail,PPR SRDC,Trail,Y,0.56029342,1178.9991192034
251,Designated,Asphalt,10, ,Asphalt Trail,Schuylkill Banks Trail,PPR SRDC,Trail,Y,0.03363412,70.7213839863339
252,Designated,Asphalt,10, ,Asphalt Trail,Schuylkill Banks Trail,PPR SRDC,Trail,Y,0.04523507,95.1740579563208
253,Designated,Asphalt,10, ,Asphalt Trail,Schuylkill Banks Trail,PPR SRDC,Trail,Y,0.00682832,14.317725867952
254,Designated,Asphalt,10, ,Asphalt Trail,Schuylkill Banks Trail,PPR SRDC,Trail,Y,0.01566216,32.9415637232098
255,Designated,Asphalt,10, ,Asphalt Trail,Schuylkill Banks Trail,PPR SRDC,Trail,Y,0.17966654,377.75890741095
256,Designated,Asphalt,10, ,Asphalt Trail,Schuylkill Banks Trail,PPR SRDC,Trail,Y,0.0177873,37.4206673370284
257,Designated,Asphalt,10, ,Asphalt Trail,Schuylkill Banks Trail,PPR SRDC,Trail,Y,0.11158743,234.599277570816
258,Designated,Asphalt,10, ,Asphalt Trail,Wissahickon Bike Path,PPR,Trail,Y,0.99296625,2088.4406660839
259,Designated,Asphalt,10, ,Asphalt Trail,Wissahickon Bike Path,PPR,Trail,Y,0.17741708,373.354694471883
260,Designated,Asphalt,10, ,Bridge,Pennypack Park Trail,PPR,Trail,Y,0.02845226,59.8936997483256
261,Designated,Asphalt,10, ,Bridge,Pennypack Park Trail,PPR,Trail,Y,0.01182855,24.9273845069313
262,Designated,Asphalt,10, ,Bridge,Pennypack Park Trail,PPR,Trail,Y,0.02723003,57.2259774636047
263,Designated,Asphalt,10, ,Dirt Trail,Cobb's Creek Trail,PPR,Trail,Y,0.03860123,81.1483537553074
264,Designated,Asphalt,10, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.007955,16.6848694641367
265,Designated,Asphalt,10, ,Road Crossing,Centennial Loop,PPR,Trail Connection,Y,0.02723624,57.1589679970045
266,Designated,Asphalt,10, ,Road Crossing,Centennial Loop,PPR,Trail Connection,Y,0.08066707,169.519751508213
267,Designated,Asphalt,10, ,Road Crossing,Centennial Loop,PPR,Trail Connection,Y,0.01127335,23.7089633453606
268,Designated,Asphalt,10, ,Road Crossing,Centennial Loop,PPR,Trail Connection,Y,0.00902828,18.9869738073049
269,Designated,Asphalt,10, ,Road Crossing,Centennial Loop,PPR,Trail Connection,Y,0.01722188,36.1259155531365
270,Designated,Asphalt,10, ,Road Crossing,Centennial Loop,PPR,Trail Connection,Y,0.01779416,37.3551863475305
271,Designated,Asphalt,10, ,Road Crossing,Centennial Loop,PPR,Trail Connection,Y,0.03027067,63.7270547990309
272,Designated,Asphalt,10, ,Road Crossing,Centennial Loop,PPR,Trail Connection,Y,0.01853107,38.8781468608371
273,Designated,Concrete,25,,Bridge ,Manayunk Bridge Trail,PPR,Trail,Y,0.22876149,481.665994106047
274,Designated,Concrete,25,,Bridge ,Manayunk Bridge Trail,Mont Co,Outside Philly Trail,Y,0.11049209,232.775037597084
275,Designated,Asphalt,0, ,Asphalt Sidepath,58th Street Greenway,Streets,Sidepath, ,1.41127226,2964.05251450005
276,Trail,Asphalt,5,,Asphalt Sidepath,Berks Street Path,,Sidepath,Y,0.13307732,279.550891410628
277,Sidepath,Asphalt,12,,Asphalt Sidepath,Delaware Avenue Extension Sidepath 1A,Streets,Sidepath,Y,0.54617415,1147.72374790642
278,Designated,Gravel,1,Not Bikeable,Gravel Trail,Boxer's Trail,PPR,Trail,N,0.01637262,34.4099996757851
279,Designated,Gravel,8, ,Dirt Trail,Manayunk Canal Towpath/Lock St to Shawmont,PPR,Trail,N,0.22603421,475.107592323649
280,Designated,Gravel,8, ,Dirt Trail,Manayunk Canal Towpath/Lock St to Shawmont,PPR,Trail,N,0.04071177,85.5253643970748
