log2FoldChange,pvalue,gene_id,symbol
-0.378634086,0.376692907,ENSG00000010610,CD4
-0.04108952,0.904207508,ENSG00000010626,LRRC23
-0.155309514,0.444086018,ENSG00000010704,HFE
0.21865842,0.147779056,ENSG00000010803,SCMH1
0.532841865,0.001433039,ENSG00000010810,FYN
0.076068149,0.510009318,ENSG00000010818,HIVEP2
-0.248598294,0.03785536,ENSG00000011007,ELOA
-0.388754514,0.009209263,ENSG00000011009,LYPLA2
0.052731551,0.77324581,ENSG00000011021,CLCN6
-0.347278747,0.001060349,ENSG00000011028,MRC2
-0.140718927,0.295386906,ENSG00000011105,TSPAN9
0.251518897,0.059694927,ENSG00000011114,BTBD7
-0.07502691,0.715998634,ENSG00000011132,APBA3
-0.11280515,0.726946531,ENSG00000011143,MKS1
0.118549998,0.401333391,ENSG00000011198,ABHD5
-0.04933934,0.774512487,ENSG00000011243,AKAP8L
-0.17845384,0.528637777,ENSG00000011258,MBTD1
0.11960707,0.45201636,ENSG00000011260,UTP18
0.300969778,0.006470742,ENSG00000011275,RNF216
0.37400048,0.02964987,ENSG00000011295,TTC19
-0.008743698,0.932470378,ENSG00000011304,PTBP1
0.444149846,0.02491206,ENSG00000011332,DPF1
0.381303142,0.062272163,ENSG00000011347,SYT7
-0.232861679,0.129336453,ENSG00000011376,LARS2
-1.20490559,0.006743754,ENSG00000011405,PIK3C2A
-0.171881786,0.104984148,ENSG00000011422,PLAUR
-0.672240449,7.47E-08,ENSG00000011426,ANLN
0.18015308,0.13071316,ENSG00000011451,WIZ
-0.070119941,0.623451204,ENSG00000011454,GPR21
0.002042562,0.984020137,ENSG00000011465,DCN
0.238322852,0.221538955,ENSG00000011478,QPCTL
0.031019804,0.788159986,ENSG00000011485,PPP5C
-0.656875808,0.008708665,ENSG00000011523,CEP68
0.301268111,0.072779893,ENSG00000011566,MAP4K3
0.525270954,0.07331027,ENSG00000011638,TMEM159
-0.419323617,0.003306208,ENSG00000012048,BRCA1
-0.033431904,0.82709329,ENSG00000012061,ERCC1
0.091752606,0.553070821,ENSG00000012171,SEMA3B
-0.387718351,0.005135246,ENSG00000012174,MBTPS2
0.408441884,0.039709189,ENSG00000012211,PRICKLE3
-0.835857884,2.95E-10,ENSG00000012232,EXTL3
-0.073860551,0.551991781,ENSG00000012660,ELOVL5
-0.66949911,2.66E-05,ENSG00000012817,KDM5D
0.159092673,0.250235622,ENSG00000012822,CALCOCO1
0.045268614,0.726508229,ENSG00000012963,UBR7
-0.169362342,0.221625596,ENSG00000012983,MAP4K5
-0.436577134,7.70E-05,ENSG00000013016,EHD3
0.039987334,0.741994389,ENSG00000013275,PSMC4
-0.175204417,0.120508464,ENSG00000013288,MAN2B2
0.045130703,0.934274892,ENSG00000013297,CLDN11
0.151490287,0.20109391,ENSG00000013306,SLC25A39
-0.259098578,0.039896554,ENSG00000013364,MVP
0.224767551,0.153799391,ENSG00000013374,NUB1
0.063835197,0.621496285,ENSG00000013375,PGM3
1.195182627,1.05E-06,ENSG00000013392,RWDD2A
-0.068556298,0.648871796,ENSG00000013441,CLK1
-0.080391118,0.621619291,ENSG00000013503,POLR3B
-0.191127833,0.421203207,ENSG00000013523,ANGEL1
-0.094911442,0.487953245,ENSG00000013561,RNF14
